total,black,blue,green,yellow,red,white,expected_usage
0,0,0,0,0,0,0,0.0
1,1,0,0,0,0,0,0.95999999999999996
2,1,0,0,1,0,0,1.8866666666666667
3,2,0,0,1,0,0,2.7466666666666666
4,3,0,0,1,0,0,3.5466666666666669
5,3,0,0,2,0,0,4.3200000000000003
6,3,1,0,2,0,0,5.0800000000000001
7,3,1,0,2,0,1,5.833333333333333
8,3,1,1,2,0,1,6.5533333333333337
9,3,1,1,2,0,2,7.246666666666667
10,3,1,1,3,0,2,7.9066666666666663
11,3,1,2,3,0,2,8.5666666666666664
12,4,1,2,3,0,2,9.2200000000000006
13,4,1,2,3,1,2,9.8666666666666671
14,4,2,2,3,1,2,10.486666666666666
15,4,2,2,3,1,3,11.1
16,4,2,2,3,2,3,11.68
17,4,3,2,3,2,3,12.26
18,4,3,2,4,2,3,12.826666666666666
19,4,3,3,4,2,3,13.380000000000001
20,5,3,3,4,2,3,13.926666666666666
21,5,3,3,4,2,4,14.426666666666666
22,5,3,3,4,3,4,14.926666666666666
23,5,3,3,5,3,4,15.42
24,5,3,4,5,3,4,15.9
